Work ID,State,district,category,quantity,unit,sanction_amount,unit_cost,sor_rate,expected_cost,cost_deviation_pct,sor_match_confidence,is_anomaly_injected,Work Description,Original Category,MP Name,House,Completed Date,Has Images,Average Rating,IDA
134703,Andhra Pradesh,CHITTOOR,Road Construction,142.96,sq_meters,499993.0,3497.4,3049.96,436025.68,0.1467,0.736,False,Upgradation of Road from Madhavaram Village to Company Indlu of Madhavaram GP,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-01-31T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135593,Andhra Pradesh,CHITTOOR,Road Construction,133.45,sq_meters,448722.0,3362.37,3237.95,432117.32,0.0384,0.728,False,Construction of CC Road from Amudala Village to AmudalaHW in Amudala Village&GP of Palasamudram MAndal of GD Nellore Constituency,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-12-05T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135595,Andhra Pradesh,CHITTOOR,Road Construction,212.9,sq_meters,448970.0,2108.78,2127.73,453004.1,-0.0089,0.947,False,Construction of CC road from Amudala Village to Amudala ST colony in Amudala Village & GP of Palasamudram Mandal of GD Nelloore Constituency,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-12-05T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135639,Andhra Pradesh,CHITTOOR,Drainage,276.67,meters,440871.0,1593.49,1629.64,450871.17,-0.0222,0.852,False,Construction of Under Ground Drainage at Thalaripalli HW(Reach 1) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nelloore Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-08-20T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135640,Andhra Pradesh,CHITTOOR,Drainage,265.56,meters,500000.0,1882.79,1888.19,501434.69,-0.0029,0.954,False,Construction of Under Ground Draiange at Thalaripalli HW(Reach II) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nellore Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-03-03T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135641,Andhra Pradesh,CHITTOOR,Drainage,189.33,meters,489209.0,2583.93,2755.91,521770.52,-0.0624,0.819,False,Construction of Under Ground Drainage at Thalaripalli HW (Reach III) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nelloore Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-03-03T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135642,Andhra Pradesh,CHITTOOR,Drainage,252.7,meters,477866.0,1891.07,1959.1,495054.64,-0.0347,0.752,False,"Construction of Under Ground Drainage at Penumuru Town (Reach I)& GP, Penumuru Mandal of GD Nelloore Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-02-08T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135643,Andhra Pradesh,CHITTOOR,Drainage,103.89,meters,200000.0,1925.07,1944.21,201988.4,-0.0098,0.811,False,"Construction of Under Ground Drainage at Penumuru Town (Reach II)&GP, Penumuru Mandal of GD Nelloore Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-02-08T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135645,Andhra Pradesh,CHITTOOR,Road Construction,148.03,sq_meters,397837.0,2687.47,2366.47,350318.0,0.1356,0.784,False,"Construction of CC Road in Payanagaripalli HW Village at sathayma Temple to Venkatama House and Sumati House to Tirumalaiaha House and Venkateswara Temple to Hari House, Gundlapalli GP, Irala mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-10-25T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135646,Andhra Pradesh,CHITTOOR,Road Construction,40.87,sq_meters,99809.0,2442.17,2630.15,107491.61,-0.0715,0.853,False,"Construction of CC Road at Hand Borewell to Sri Ramathirtha Sevashramam in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-10-25T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135647,Andhra Pradesh,CHITTOOR,Road Construction,93.96,sq_meters,497766.0,5297.83,2701.49,253822.42,0.9611,0.967,True,"Construction of CC Road From Pump House room to R&B Road Link and Markondaiah House to Venkatapuram HW end in Venkatapuram HW Village in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-10-25T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135648,Andhra Pradesh,CHITTOOR,Road Construction,221.3,sq_meters,499570.0,2257.4,2324.2,514352.3,-0.0287,0.807,False,Construction of CC Road from Nellepalli Mitta to Milk Dairy Nellepalli Mitta in Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135649,Andhra Pradesh,CHITTOOR,Road Construction,207.65,sq_meters,490629.0,2362.72,2187.14,454168.48,0.0803,0.921,False,"Construction of CC Road from G. Nirmala House to Apparao & Hari House in Kothuru Village, Nellepalli GP of GD Nelloore Mandal and Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-03-27T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135650,Andhra Pradesh,CHITTOOR,Road Construction,157.0,sq_meters,499781.0,3183.36,3187.92,500496.09,-0.0014,0.892,False,Construction of CC Road from Milk Dairy to Juice Factory in Nellepalli Mitta in Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135651,Andhra Pradesh,CHITTOOR,Road Construction,165.21,sq_meters,499782.0,3025.11,3033.49,501165.93,-0.0028,0.767,False,Construction of CC Road from G. Murali Mohan House to Bhuvaneswari House in Appireddykandriga in Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135652,Andhra Pradesh,CHITTOOR,Road Construction,222.48,sq_meters,499365.0,2244.53,2246.12,499718.79,-0.0007,0.795,False,Construction of CC Road from Juice Factory to G. Murali Mohan House in Appireddykandriga in Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135654,Andhra Pradesh,CHITTOOR,Road Construction,193.5,sq_meters,499432.0,2580.99,2835.48,548676.5,-0.0898,0.762,False,Construction of CC Road from Peddamittapalli Road to K. Venkata Reddy House at Chinnamittapalli Village of Nellepalli GP of GD Nelloore Mandal and Constituency.,Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2025-01-07T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135655,Andhra Pradesh,CHITTOOR,Road Construction,152.11,sq_meters,492402.0,3237.12,2981.73,453554.18,0.0857,0.927,False,"Construction of CC Road from Arimakulapalli Village to Aravinda(Ananda Naidu) House in Arimakulapalli Village, Dasarapalli GP in Yadamari Mandal of Puthalapattu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-12-14T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135656,Andhra Pradesh,CHITTOOR,Road Construction,163.19,sq_meters,496981.0,3045.49,3289.96,536874.74,-0.0743,0.738,False,"Construction of CC road from Molakamadugu Village to Kotala Main Road in Molakamadugu Village, Dasarapalli GP in Yadamar Mandal of Puthalapttu Constituency.",Normal/Others,DAGGUMALLA PRASADA RAO,Lok Sabha,2024-12-14T00:00:00.000Z,True,,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)
135772,Andhra Pradesh,KADAPA,Community Building,88.96,sq_meters,980399.0,11020.49,12000.75,1067604.58,-0.0817,0.874,False,"Completion of Incomplete community Hall in 4th ward in Vempalli (V &M), YSR District.",Normal/Others,Y S Avinash Reddy,Lok Sabha,2025-05-11T00:00:00.000Z,True,,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)
135773,Andhra Pradesh,KADAPA,Drinking Water,2.48,number,391781.0,157911.07,144688.18,358974.69,0.0914,0.751,False,"Replacement of old Pump set with accessaries and Pipe line near OHSR tank at Chinnakudala (V) of Lingal Mandal, YSR District.",Normal/Others,Y S Avinash Reddy,Lok Sabha,2025-10-18T00:00:00.000Z,True,,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)
