MP Name,Constituency,State,House,Allocated Amount (₹),Amount Recommended (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Balance Not Yet Paid to Vendors (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
ANDREW J. SYNGKON,SHILLONG,Meghalaya,Lok Sabha,98000000.0,98000000.0,71430000.0,100.0,98,241,40.66,26570000.0,327,321,6,
RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,Maharashtra,Lok Sabha,147000000.0,147000000.0,53799122.0,100.0,0,67,0.0,93200878.0,24,20,4,
S SUPONGMEREN JAMIR,NAGALAND,Nagaland,Lok Sabha,147000000.0,147000000.0,138150000.0,100.0,38,56,67.86,8850000.0,81,81,0,
Smt. Sudha Murty (2024-30),Nominated Rajya Sabha,Karnataka,Rajya Sabha,147000000.0,147000000.0,71000000.0,100.0,0,11,0.0,76000000.0,8,8,0,
Smt. Geeta alias Chandraprabha (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,196063956.35,169877016.35,100.0,210,247,85.02,26186940.0,313,313,0,
Mahesh Sharma,GAUTAM BUDDHA NAGAR,Uttar Pradesh,Lok Sabha,148816284.11,148811083.28,83408358.0,100.0,68,173,39.31,65402725.28,130,126,4,
ANOOP PRADHAN BALMIKI,HATHRAS,Uttar Pradesh,Lok Sabha,147000000.0,146944105.0,97915147.0,99.96,69,106,65.09,49028958.0,141,141,0,
Prof SP Singh Baghel,AGRA,Uttar Pradesh,Lok Sabha,147000000.0,146923438.0,93200157.0,99.95,55,110,50.0,53723281.0,140,140,0,
Shri Bhartruhari Mahtab,CUTTACK,Odisha,Lok Sabha,147000000.0,146922088.0,37017579.0,99.95,86,483,17.81,109904509.0,281,277,4,
NEERAJ MAURYA,AONLA,Uttar Pradesh,Lok Sabha,147000000.0,146910629.0,97488644.0,99.94,17,36,47.22,49421985.0,101,101,0,
Smt Veena Devi ,VAISHALI,Bihar,Lok Sabha,147000000.0,146860679.0,131108889.0,99.91,30,59,50.85,15751790.0,49,49,0,
DR. LATA WANKHEDE,SAGAR,Madhya Pradesh,Lok Sabha,147000000.0,146839715.0,100520853.0,99.89,103,236,43.64,46318862.0,276,272,4,
Shri Ramji Lal Suman (2024-30),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,147000000.0,146806953.0,93005621.0,99.87,29,93,31.18,53801332.0,120,120,0,
BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,Maharashtra,Lok Sabha,147000000.0,146794506.0,61343128.0,99.86,11,164,6.71,85451378.0,75,70,5,
Ashok Kumar Rawat,MISRIKH,Uttar Pradesh,Lok Sabha,147000000.0,146776705.0,121139986.0,99.85,2,5,40.0,25636719.0,32,24,8,
SACHITHANANTHAM R,DINDIGUL,Tamil Nadu,Lok Sabha,147000000.0,146728339.0,91226196.0,99.82,50,134,37.31,55502143.0,87,85,2,
Smt. Seema Dwivedi (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,173830159.11,173445859.4,135441468.4,99.78,210,408,51.47,38004391.0,314,302,12,
Shri S. Jaishankar (2023-29),Sitting Rajya Sabha,Gujarat,Rajya Sabha,171500000.0,171094899.0,31616893.0,99.76,51,163,31.29,139478006.0,60,60,0,
Ramprit Mandal,JHANJHARPUR,Bihar,Lok Sabha,147000000.0,146608150.0,107510581.0,99.73,91,177,51.41,39097569.0,104,104,0,
JOYANTA BASUMATARY,KOKRAJHAR,Assam,Lok Sabha,147000000.0,146599810.0,63280971.0,99.73,20,129,15.5,83318839.0,82,79,3,
Shri Jaggesh (2022-28),Sitting Rajya Sabha,Karnataka,Rajya Sabha,196063957.11,195461585.0,130587101.0,99.69,126,208,60.58,64874484.0,166,166,0,
Rodmal Nagar ,RAJGARH,Madhya Pradesh,Lok Sabha,147000000.0,146544940.0,92107905.0,99.69,54,355,15.21,54437035.0,265,265,0,
Mukesh Rajput,FARRUKHABAD,Uttar Pradesh,Lok Sabha,147000000.0,146534526.0,108417412.0,99.68,246,306,80.39,38117114.0,367,367,0,
Dr. Faiyaz Ahmad (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,235263957.11,234514150.0,183753433.0,99.68,138,206,66.99,50760717.0,174,174,0,
MURLIDHAR MOHOL,PUNE,Maharashtra,Lok Sabha,147000000.0,146496657.0,18945481.0,99.66,12,99,12.12,127551176.0,19,19,0,
JAI PARKASH,HISAR,Haryana,Lok Sabha,147000000.0,146353469.0,73212356.0,99.56,68,444,15.32,73141113.0,357,330,27,
Smt. Phulo Devi Netam (2026-32),Sitting Rajya Sabha,Chhattisgarh,Rajya Sabha,49000000.0,48777604.0,12348157.0,99.55,0,81,0.0,36429447.0,20,16,4,
SUDHAKAR SINGH,BUXAR,Bihar,Lok Sabha,185211956.54,184189494.0,124124191.0,99.45,98,204,48.04,60065303.0,177,176,1,
Dr. Anil Sukhdeorao Bonde (2022-28),Sitting Rajya Sabha,Maharashtra,Rajya Sabha,196063957.11,194938204.0,86399726.0,99.43,50,185,27.03,108538478.0,84,79,5,
Shri R. Dharmar (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,260812242.52,259234270.0,207877791.0,99.39,193,244,79.1,51356479.0,198,198,0,
Indra Hang Subba,SIKKIM,Sikkim,Lok Sabha,152003923.11,151079926.0,98023420.0,99.39,38,130,29.23,53056506.0,80,80,0,
Pradyut Bordoloi,NOWGONG,Assam,Lok Sabha,98000000.0,97394000.0,67857468.0,99.38,13,215,6.05,29536532.0,478,475,3,
Shri Mithlesh Kumar (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,194673928.0,170753928.0,99.29,195,203,96.06,23920000.0,232,232,0,
Sunil Kumar ,VALMIKI NAGAR,Bihar,Lok Sabha,147000000.0,145930069.0,63664429.0,99.27,79,258,30.62,82265640.0,87,87,0,
RAJA RAM SINGH,KARAKAT,Bihar,Lok Sabha,147000000.0,145887944.0,72478355.0,99.24,114,329,34.65,73409589.0,194,191,3,
Shri Arun Kumar Sagar ,SHAHJAHANPUR,Uttar Pradesh,Lok Sabha,147000000.0,145876200.0,138723000.0,99.24,4,7,57.14,7153200.0,45,45,0,
Shri Arun Singh (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,223492764.11,221643804.0,151462382.0,99.17,46,111,41.44,70181422.0,197,194,3,
DULU MAHATO,DHANBAD,Jharkhand,Lok Sabha,147000000.0,145710045.0,58175255.0,99.12,57,417,13.67,87534790.0,312,272,40,
MANOJ KUMAR,SASARAM,Bihar,Lok Sabha,147000000.0,145610852.0,95686097.0,99.06,82,194,42.27,49924755.0,122,121,1,
SK NURUL ISLAM,BASIRHAT,West Bengal,Lok Sabha,49000000.0,48510650.0,30740105.0,99.0,8,32,25.0,17770545.0,21,21,0,
Shri Surendra Singh Nagar (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,220563957.11,218335769.0,109500434.16,98.99,98,299,32.78,108835334.84,281,272,9,
Shri S. Kalyanasundaram (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,239763792.52,237177871.0,183132534.0,98.92,141,185,76.22,54045337.0,188,181,7,
Vinod Chavda,KACHCHH,Gujarat,Lok Sabha,147000000.0,145391050.0,51201603.0,98.91,98,363,27.0,94189447.0,127,119,8,
Priyanka Gandhi Vadra,WAYANAD,Kerala,Lok Sabha,122500000.0,121145751.0,34714501.0,98.89,11,96,11.46,86431250.0,39,39,0,
Smt. S. Phangnon Konyak (2022-28),Sitting Rajya Sabha,Nagaland,Rajya Sabha,206563957.11,204171000.0,200229200.0,98.84,58,77,75.32,3941800.0,126,125,1,
VIJAYLAKSHMI DEVI,SIWAN,Bihar,Lok Sabha,147000000.0,145285955.0,134748616.0,98.83,95,182,52.2,10537339.0,142,142,0,
Smt. Sangeeta Yadav (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,193736886.47,169940841.0,98.81,43,121,35.54,23796045.47,261,260,1,
Shri Brij Lal (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,193733662.0,92124068.0,98.81,113,150,75.33,101609594.0,161,159,2,
RAJESH RANJAN ALIAS PAPPU YADAV,PURNEA,Bihar,Lok Sabha,147000000.0,145247018.0,72622818.0,98.81,46,171,26.9,72624200.0,76,76,0,
Shri Javed Ali Khan (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,193617928.0,162685314.28,98.75,125,193,64.77,30932613.72,261,251,10,
PATEL UMESHBHAI BABUBHAI,DAMAN and DIU,The Dadra And Nagar Haveli And Daman And Diu,Lok Sabha,245063957.0,241786200.0,0.0,98.66,0,61,0.0,241786200.0,0,0,0,
Shri Meda Raghunadha Reddy (2024-30),Sitting Rajya Sabha,Andhra Pradesh,Rajya Sabha,147000000.0,144970524.0,81390969.0,98.62,111,250,44.4,63579555.0,138,132,6,
Shri Govindbhai Laljibhai Dholakia (2024-30),Sitting Rajya Sabha,Gujarat,Rajya Sabha,147000000.0,144530200.0,27272966.0,98.32,44,122,36.07,117257234.0,59,58,1,
Smt S Jothimani,KARUR,Tamil Nadu,Lok Sabha,147000000.0,144332988.0,48601252.0,98.19,87,177,49.15,95731736.0,103,100,3,
MANI. A.,DHARAMAPURI,Tamil Nadu,Lok Sabha,164515071.11,161217102.0,68465190.0,98.0,63,373,16.89,92751912.0,130,127,3,
Anto Antony,PATHANAMTHITTA,Kerala,Lok Sabha,147000000.0,143897348.0,26984855.0,97.89,60,356,16.85,116912493.0,78,78,0,
THARANIVENTHAN M S,ARANI,Tamil Nadu,Lok Sabha,168337124.35,164629272.0,111465790.0,97.8,192,316,60.76,53163482.0,215,214,1,
RAMBHUAL NISHAD,SULTANPUR,Uttar Pradesh,Lok Sabha,151231957.11,147846720.57,87473694.0,97.76,6,69,8.7,60373026.56999999,26,25,1,
RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,Bihar,Lok Sabha,147000000.0,143571385.0,96375137.0,97.67,77,130,59.23,47196248.0,90,90,0,
Shri Naresh Bansal (2020-26),Sitting Rajya Sabha,Uttarakhand,Rajya Sabha,222043184.71,215921653.0,124316327.0,97.24,106,238,44.54,91605326.0,215,212,3,
Shri Dorjee Tshering Lepcha (2024-30),Sitting Rajya Sabha,Sikkim,Rajya Sabha,150170726.11,145996595.0,91921040.0,97.22,85,118,72.03,54075555.0,183,183,0,
SUDAMA PRASAD,ARRAH,Bihar,Lok Sabha,147000000.0,142785922.0,57716958.0,97.13,66,219,30.14,85068964.0,86,86,0,
RAM PRASAD CHAUDHARY,BASTI,Uttar Pradesh,Lok Sabha,204176957.11,198071774.0,148429426.0,97.01,37,183,20.22,49642348.0,239,239,0,1.0
Sanjay Kumar Bandi,KARIMNAGAR,Telangana,Lok Sabha,172775317.11,167256600.0,65663959.0,96.81,173,635,27.24,101592641.0,307,307,0,
RAJEEV BHARDWAJ,KANGRA,Himachal Pradesh,Lok Sabha,179388967.11,173418823.0,81718389.0,96.67,208,628,33.12,91700434.0,658,652,6,
Dr. Dharmshila Gupta (2024-30),Sitting Rajya Sabha,Bihar,Rajya Sabha,186200000.0,179754823.0,136714265.0,96.54,87,142,61.27,43040558.0,113,112,1,
