MP Name,composite_risk_rank,composite_risk_score,risk_band,is_flagged_composite,constituency_proxy,top_vendor,is_ghost_work_flagged,true_label,top_shap_drivers,num_works,anomaly_score_mean,anomaly_score_max,anomaly_flag_rate,cost_deviation_pct_mean,cost_deviation_pct_max,sor_match_confidence_mean,duplicate_score_mean,duplicate_score_max,duplicate_flag_rate,duplicate_group_size_max,injected_anomaly_frac,ghost_work_rate,constituency_proxy_state,constituency_proxy_district,num_months,deviation_flag_rate,residual_pct_mean,residual_pct_max,total_actual_amount,num_primary_vendors,collusion_score_mean,collusion_score_max,flagged_vendor_rate,any_flagged_vendor,top_vendor_total_amount,top_vendor_collusion_score,top_vendor_is_flagged_collusion,target_high_risk,driver_1_feature,driver_1_shap,driver_2_feature,driver_2_shap,driver_3_feature,driver_3_shap,composite_risk_score_raw_oof,composite_risk_score_in_sample,decision_threshold,is_flagged_capacity,risk_percentile,label_agreement
Dr Chandra Sekhar Pemmasani,1,1.0,Critical,1,"GUNTUR, Andhra Pradesh",M Butchaiah and Company,1.0,1,cost_deviation_pct_mean (+3.755); num_works (+1.190); cost_deviation_pct_max (+0.639),9,0.1406047106167526,0.2210003459450006,0.2222222222222222,0.2288333333333333,1.9771,0.8713333333333333,0.2586741933952389,0.8159616970154485,0.3333333333333333,27.0,0.1111111111111111,0.3333333333333333,Andhra Pradesh,GUNTUR,17,0.0588235294117647,0.8017884779677071,1.6390811101617635,39657891.0,31,0.485585437649005,0.6493329383035265,0.0,0.0,4939780.0,0.6445602600014364,0.0,1,cost_deviation_pct_mean,3.7546923,num_works,1.1900119,cost_deviation_pct_max,0.6390145,0.9965731104214987,0.99652016,0.5,1,0.9575113808801214,agree
TANUJ PUNIA,2,1.0,Critical,1,"BARABANKI, Uttar Pradesh",Praharsh Infrastructure,1.0,1,cost_deviation_pct_mean (+3.481); num_works (+1.093); sor_match_confidence_mean (+0.310),13,0.0893453212897947,0.2189114302504792,0.2307692307692307,0.2392384615384615,2.8019,0.8663076923076923,0.2250118712516692,0.6940249456421753,0.3333333333333333,3.0,0.0769230769230769,0.3333333333333333,Uttar Pradesh,BARABANKI,21,0.0,0.9094805320727188,2.1918691291636714,83397272.0,3,0.5972392803275156,0.67454302233714,0.3333333333333333,1.0,76771727.0,0.67454302233714,1.0,1,cost_deviation_pct_mean,3.4807065,num_works,1.0934124,sor_match_confidence_mean,0.31028697,0.9961868127187093,0.99579406,0.5,1,0.9575113808801214,agree
Sudip Bandyopadhyay,3,1.0,Critical,1,"KOLKATA UTTAR, West Bengal",M SHAW,1.0,1,cost_deviation_pct_mean (+3.830); num_works (+1.205); cost_deviation_pct_max (+0.680),9,0.1173547480189261,0.2172568769512215,0.2222222222222222,0.3761,1.6421,0.7957777777777778,0.1705082812091206,0.7672872654410431,0.2222222222222222,2.0,0.2222222222222222,0.2222222222222222,West Bengal,KOLKATA UTTAR,17,0.0588235294117647,0.8331854212775779,2.2641404960401625,46311063.0,22,0.4911227661227661,0.6629614666379373,0.0909090909090909,1.0,9500000.0,0.6629614666379373,1.0,1,cost_deviation_pct_mean,3.8300927,num_works,1.2051134,cost_deviation_pct_max,0.6796975,0.9959620634714762,0.9963329,0.5,1,0.9575113808801214,agree
Dr. Radha Mohan Das Agrawal (2022-28),4,1.0,Critical,1,"Sitting Rajya Sabha, Uttar Pradesh",MS Jitendra Kumar Yadav,0.0,1,cost_deviation_pct_mean (+3.711); num_works (+1.001); cost_deviation_pct_max (+0.446),15,0.1032980645896445,0.2037034277805813,0.2,0.1918266666666666,2.3646,0.8414666666666667,0.0,0.0,0.0,1.0,0.0666666666666666,0.0,Uttar Pradesh,Sitting Rajya Sabha,31,0.032258064516129,0.5764279802735561,1.6071306978017683,72382614.0,2,0.6482861093155211,0.6710613732672557,0.5,1.0,37561537.0,0.6710613732672557,1.0,1,cost_deviation_pct_mean,3.7111287,num_works,1.001055,cost_deviation_pct_max,0.44647145,0.9959491292635599,0.9965429,0.5,1,0.9575113808801214,agree
VARUN CHAUDHRY,5,1.0,Critical,1,"AMBALA, Haryana",T A S C Group Co op L and C Society Toba,0.0,1,cost_deviation_pct_mean (+3.500); num_works (+1.227); cost_deviation_pct_max (+0.752),3,0.1530883268655066,0.2001101147670966,0.0,0.2868333333333333,0.9634,0.8816666666666667,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,Haryana,AMBALA,15,0.0666666666666666,0.4825497495345264,2.105658772073888,29577311.0,48,0.4874913400189135,0.6431992027580262,0.0,0.0,2006373.0,0.6385971055088702,0.0,1,cost_deviation_pct_mean,3.4996035,num_works,1.2265688,cost_deviation_pct_max,0.75190943,0.9958605368932089,0.99594116,0.5,1,0.9575113808801214,agree
Shri Sanjay Raut (2022-28),6,1.0,Critical,1,"Sitting Rajya Sabha, Maharashtra",Kamal Enterprises,0.0,1,cost_deviation_pct_mean (+3.687); num_works (+1.211); cost_deviation_pct_max (+0.683),6,0.1233564134396684,0.2033161622876069,0.1666666666666666,0.4033166666666667,1.4045,0.8525,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,Maharashtra,Sitting Rajya Sabha,20,0.05,0.6013695988225788,2.822871394692145,67167846.0,14,0.5650893690809657,0.6626741722329959,0.1428571428571428,1.0,15985230.0,0.6168740573152338,0.0,1,cost_deviation_pct_mean,3.6874192,num_works,1.2106686,cost_deviation_pct_max,0.68308496,0.9957634409268697,0.99667144,0.5,1,0.9575113808801214,agree
BIJULI KALITA MEDHI,7,1.0,Critical,1,"GUWAHATI, Assam",Construction of road from narayan kalita house to sabin boro house,1.0,1,cost_deviation_pct_mean (+3.464); num_works (+1.177); cost_deviation_pct_max (+0.672),5,0.1156680362429751,0.1990802301934278,0.0,0.29196,1.4074,0.8815999999999999,0.2895322606086731,0.7238306515216827,0.4,12.0,0.2,0.4,Assam,GUWAHATI,26,0.0,0.587053598507048,1.603889395341687,72761435.0,97,0.425661600881431,0.6147426919485743,0.0,0.0,2800000.0,0.613864648423472,0.0,1,cost_deviation_pct_mean,3.4638023,num_works,1.1769755,cost_deviation_pct_max,0.6721845,0.9954361518224081,0.99593925,0.5,1,0.9575113808801214,agree
Thiru Dayanidhi Maran,8,1.0,Critical,1,"CHENNAI CENTRAL, Tamil Nadu",A AND A BUILDERS AND PROMOTERS,1.0,1,cost_deviation_pct_mean (+3.331); num_works (+1.086); cost_deviation_pct_max (+0.680),4,-0.0118960571910827,0.0484332230750635,0.75,0.349425,1.2472,0.8674999999999999,0.3656209120556533,0.7312418241113066,0.5,2.0,0.25,0.5,Tamil Nadu,CHENNAI CENTRAL,17,0.0588235294117647,1.5707552415716908,8.4349675464425,30478390.0,4,0.6258959994254112,0.6695135746606335,0.25,1.0,19680285.0,0.6695135746606335,1.0,1,cost_deviation_pct_mean,3.3310313,num_works,1.0860832,cost_deviation_pct_max,0.6804478,0.9949495593706766,0.9954673,0.5,1,0.9575113808801214,agree
Shri Chandrakant Damodar Handore (2024-30),9,1.0,Critical,1,"Sitting Rajya Sabha, Maharashtra",Kolte Patil Developer,0.0,1,cost_deviation_pct_mean (+3.770); num_works (+1.161); cost_deviation_pct_max (+0.252),10,0.092619094689087,0.1942109799514388,0.2,0.2471699999999999,2.4616,0.8103999999999999,0.0,0.0,0.0,1.0,0.1,0.0,Maharashtra,Sitting Rajya Sabha,22,0.0454545454545454,1.405274808773482,8.527186506133411,92046911.0,10,0.5896924154277096,0.6706430007900597,0.2,1.0,34814541.0,0.6706430007900597,1.0,1,cost_deviation_pct_mean,3.7698574,num_works,1.1606808,cost_deviation_pct_max,0.25233978,0.9948110779126486,0.9951578,0.5,1,0.9575113808801214,agree
Om Birla,10,1.0,Critical,1,"KOTA, Rajasthan",SNEH HYDRATECH ENGINEERING SOLUTION,1.0,1,cost_deviation_pct_mean (+4.009); num_works (+1.177); cost_deviation_pct_max (+0.173),15,0.1566498314155877,0.2132593651988319,0.0666666666666666,0.2428,2.6211,0.8224,0.2897861794038727,0.7736383570073445,0.4,15.0,0.1333333333333333,0.4,Rajasthan,KOTA,22,0.0454545454545454,0.709134598391216,2.486539022734352,28500390.0,59,0.3741342364846851,0.647619945414063,0.0,0.0,4583500.0,0.5802009265244559,0.0,1,cost_deviation_pct_mean,4.0093865,num_works,1.1765635,cost_deviation_pct_max,0.17338775,0.9946048259735107,0.99556184,0.5,1,0.9575113808801214,agree
