repeat,fold,n_train,n_valid,n_pos_valid,roc_auc,pr_auc,brier
1,1,527,132,33,0.9592898683807775,0.9201669346160166,0.06198900996005159
1,2,527,132,33,0.9614325068870523,0.9021116588379477,0.07570642832619046
1,3,527,132,33,0.9614325068870524,0.8943990345379044,0.07605332388935321
1,4,527,132,33,0.9531680440771351,0.9492493548439548,0.06646638230096061
1,5,528,131,33,0.969078540507112,0.9176839425356684,0.06818961891961196
2,1,527,132,33,0.9614325068870524,0.8976825186162836,0.07905156335839204
2,2,527,132,33,0.9546985001530456,0.9120620221350101,0.06281730005856076
2,3,527,132,33,0.9761248852157943,0.9348087517451638,0.07016879187504746
2,4,527,132,33,0.9580655035200489,0.8980082472776095,0.06855003598162447
2,5,528,131,33,0.9771181199752628,0.9439146032118257,0.0512522636741083
3,1,527,132,33,0.9504132231404959,0.8862569885301101,0.08068536436029146
3,2,527,132,33,0.9403122130394859,0.8825973925765426,0.08114247595676338
3,3,527,132,33,0.9660238751147843,0.9168681199128519,0.07766080233126584
3,4,527,132,33,0.9773492500765227,0.939463581016682,0.04985868358948478
3,5,528,131,33,0.9851576994434137,0.967015368250546,0.05369104327778565
