work_id,duplicate_score,is_duplicate_flagged,duplicate_group_id,duplicate_group_size,best_match_work_id,geo_cluster_id,semantic_similarity,cost_similarity,date_proximity,geo_proximity,geo_distance_km,geo_precision_pair
C_134703,0.0,False,-1,1,,0,,,,,,
C_135593,0.8417248284004913,True,1,2,C_135595,0,0.9535661,0.9963174970859225,1.0,1.0,0.0,coarse_region_centroid
C_135595,0.8417248284004913,True,1,2,C_135593,0,0.9535661,0.9963174970859225,1.0,1.0,0.0,coarse_region_centroid
C_135639,0.0,False,-1,1,,0,,,,,,
C_135640,0.7258192908992768,True,3,4,C_135641,0,0.7938096,0.85612,1.0,1.0,0.0,coarse_region_centroid
C_135641,0.7258192908992768,True,3,4,C_135640,0,0.7938096,0.85612,1.0,1.0,0.0,coarse_region_centroid
C_135642,0.6789525357289342,True,3,4,C_135641,0,0.8054161,0.8454239394614571,0.48888888888888893,1.0,0.0,coarse_region_centroid
C_135643,0.6640560917854309,True,3,4,C_135642,0,0.9928292,0.0,1.0,1.0,0.0,coarse_region_centroid
C_135645,0.0,False,-1,1,,0,,,,,,
C_135646,0.0,False,-1,1,,0,,,,,,
C_135647,0.698132994740268,True,6,46,C_136191,0,0.8437581,0.9803300623549042,0.19999999999999996,1.0,0.0,coarse_region_centroid
C_135648,0.8202808839842205,True,6,46,C_135650,0,0.91426146,0.997185433886709,1.0,1.0,0.0,coarse_region_centroid
C_135649,0.6748027015173694,True,6,46,C_135651,0,0.8749479,0.8779067673505648,0.0,1.0,0.0,coarse_region_centroid
C_135650,0.8202808839842205,True,6,46,C_135648,0,0.91426146,0.997185433886709,1.0,1.0,0.0,coarse_region_centroid
C_135651,0.8110506109076013,True,6,46,C_135652,0,0.8984783,0.9944375747826052,1.0,1.0,0.0,coarse_region_centroid
C_135652,0.8110506109076013,True,6,46,C_135651,0,0.8984783,0.9944375747826052,1.0,1.0,0.0,coarse_region_centroid
C_135654,0.7811833097267314,True,6,46,C_135651,0,0.8438492,0.9953312977791651,1.0,1.0,0.0,coarse_region_centroid
C_135655,0.780718966190842,True,6,46,C_135656,0,0.8636433,0.9385757872702042,1.0,1.0,0.0,coarse_region_centroid
C_135656,0.780718966190842,True,6,46,C_135655,0,0.8636433,0.9385757872702042,1.0,1.0,0.0,coarse_region_centroid
C_135772,0.0,False,-1,1,,1,,,,,,
C_135773,0.0,False,-1,1,,1,,,,,,
C_136185,0.0,False,-1,1,,0,,,,,,
C_136186,0.7477421020955121,True,6,46,C_136187,0,0.80781484,0.9272196206898862,1.0,1.0,0.0,coarse_region_centroid
C_136187,0.7477421020955121,True,6,46,C_136186,0,0.80781484,0.9272196206898862,1.0,1.0,0.0,coarse_region_centroid
C_136188,0.6722287131404252,True,10,4,C_136197,0,0.6992185,0.8482926588532185,1.0,1.0,0.0,coarse_region_centroid
C_136189,0.7751880923428891,True,6,46,C_135654,0,0.8756678,0.922298397646393,0.9111111111111111,1.0,0.0,coarse_region_centroid
C_136190,0.6691722128793929,True,11,3,R_301197,0,0.82053936,0.9993777777777778,0.0,1.0,0.0,coarse_region_centroid
C_136191,0.8516600255163147,True,6,46,C_136192,0,0.9713884,0.9969820733823546,1.0,1.0,0.0,coarse_region_centroid
C_136192,0.8516600255163147,True,6,46,C_136191,0,0.9713884,0.9969820733823546,1.0,1.0,0.0,coarse_region_centroid
C_136193,0.0,False,-1,1,,0,,,,,,
C_136194,0.6828322800019871,True,6,46,C_136189,0,0.753353,0.9191072579321717,0.6666666666666667,1.0,0.0,coarse_region_centroid
C_136195,0.0,False,-1,1,,0,,,,,,
C_136196,0.0,False,-1,1,,0,,,,,,
C_136197,0.6722287131404252,True,10,4,C_136188,0,0.6992185,0.8482926588532185,1.0,1.0,0.0,coarse_region_centroid
C_136198,0.0,False,-1,1,,0,,,,,,
C_136202,0.8330085202127092,True,6,46,C_136203,0,0.9646424,0.92227589650422,1.0,1.0,0.0,coarse_region_centroid
C_136203,0.8330085202127092,True,6,46,C_136202,0,0.9646424,0.92227589650422,1.0,1.0,0.0,coarse_region_centroid
C_136204,0.7372792715416648,True,6,46,C_136205,0,0.8617239,0.7266556033424031,1.0,1.0,0.0,coarse_region_centroid
C_136205,0.7372792715416648,True,6,46,C_136204,0,0.8617239,0.7266556033424031,1.0,1.0,0.0,coarse_region_centroid
C_136493,0.0,False,-1,1,,2,,,,,,
C_136494,0.0,False,-1,1,,2,,,,,,
C_136495,0.0,False,-1,1,,2,,,,,,
C_137047,0.8680000119209289,True,19,50,C_137079,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137048,0.8680000119209289,True,19,50,C_137083,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137049,0.8680000119209289,True,19,50,C_137048,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137050,0.8680000119209289,True,19,50,C_137087,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137051,0.8680000119209289,True,19,50,C_137047,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137052,0.8680000119209289,True,19,50,C_137047,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137053,0.8657777896987067,True,19,50,C_137054,3,1.0,1.0,0.9777777777777777,1.0,0.0,coarse_region_centroid
C_137054,0.8680000119209289,True,19,50,C_137071,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137055,0.8635555674764845,True,19,50,C_137077,3,1.0,1.0,0.9555555555555556,1.0,0.0,coarse_region_centroid
C_137056,0.8680000119209289,True,19,50,C_137064,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137057,0.8680000119209289,True,19,50,C_137070,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137058,0.8680000119209289,True,19,50,C_137091,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137059,0.8680000119209289,True,19,50,C_137054,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137060,0.8680000119209289,True,19,50,C_137065,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137061,0.8680000119209289,True,19,50,C_137070,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137062,0.8680000119209289,True,19,50,C_137061,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
C_137063,0.8657777896987067,True,19,50,C_137065,3,1.0,1.0,0.9777777777777777,1.0,0.0,coarse_region_centroid
C_137064,0.8680000119209289,True,19,50,C_137073,3,1.0,1.0,1.0,1.0,0.0,coarse_region_centroid
