MP Name,month,actual_amount,status,prophet_forecast,prophet_lower,prophet_upper,arima_forecast,arima_lower,arima_upper,is_deviation_flagged
AASHTIKAR PATIL NAGESH BAPURAO,2025-07-01,996314.0,modeled,2696401.8810735,-7050665.884295538,12598755.444097148,0.0,-2771.807648699356,2771.807648699356,False
AASHTIKAR PATIL NAGESH BAPURAO,2025-08-01,0.0,modeled,3028828.7889480037,-6488797.555157091,12007152.141737867,1411514.3481741257,-9896962.817575194,12719991.513923444,False
AASHTIKAR PATIL NAGESH BAPURAO,2025-09-01,1498945.0,modeled,3361255.696759543,-5459500.866162701,12396766.059548333,2113958.8495990834,-9194519.083055638,13422436.782253806,False
AASHTIKAR PATIL NAGESH BAPURAO,2025-10-01,7491909.0,modeled,3682959.155977406,-6055704.430081418,12788571.928558307,4031167.8439600356,-7277313.425668115,15339649.113588186,False
AASHTIKAR PATIL NAGESH BAPURAO,2025-11-01,2300337.0,modeled,4015386.063846288,-5873931.461737968,12898135.081052236,5267926.735266344,-6040569.054244964,16576422.52477765,False
AASHTIKAR PATIL NAGESH BAPURAO,2025-12-01,1986835.0,modeled,4337089.523139645,-5124884.741844307,13566655.112513583,4163549.494993991,-7145009.473259286,15472108.46324727,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-01-01,5463480.0,modeled,4669516.431101242,-4668623.741986592,14161725.4880522,6266008.755871154,-5042825.108026417,17574842.619768724,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-02-01,20700391.0,modeled,5001943.3390323445,-4031572.8372360705,13830563.632446336,10035104.930976804,-1274924.8939440101,21345134.75589762,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-03-01,6766921.0,modeled,5302199.901056319,-4466866.831012115,14485056.847759912,11158712.898447167,-156517.58894087188,22473943.385835208,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-04-01,1993402.0,modeled,5634626.808967842,-4479256.865188726,14526526.418512253,4303912.7463906035,-7033886.061866116,15641711.554647323,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-05-01,1493124.0,modeled,5956330.268236415,-4258004.677145785,15032855.407146264,2809534.9317841176,-8625327.17474256,14244397.038310796,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-06-01,4709116.0,modeled,6288757.176159062,-3052844.952071043,16011677.32909202,3761768.743650323,-8075204.79391918,15598742.281219825,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-07-01,6470667.0,modeled,6610460.635439041,-2834124.6857214393,15531726.276597686,5585952.219295408,-7697885.5281785345,18869789.96676935,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-08-01,5650601.0,modeled,6942887.543361689,-2447271.0141775375,16094378.168687759,6601445.388395462,-10163616.419043586,23366507.19583451,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-09-01,,modeled,7275314.451284336,-2635457.852038151,16513967.649467517,5869526.987620601,-14894625.27889291,26633679.25413411,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-10-01,,modeled,7597017.910564315,-1231406.8900163018,16766074.344165085,6051995.860454744,-27940765.215854548,40044756.93676404,False
AASHTIKAR PATIL NAGESH BAPURAO,2026-11-01,,modeled,7929444.81848696,-1283364.9957186617,17245779.704548713,6204078.716927053,-41642659.02616817,54050816.46002227,False
ABDUL RASHID SHEIKH,2025-08-01,1222875.0,modeled,1545799.4549268002,-2235364.6875278805,5618073.971037582,0.0,-2771.807648699356,2771.807648699356,False
ABDUL RASHID SHEIKH,2025-09-01,88422.0,modeled,1645171.5517462022,-2720192.160625224,5680332.675705967,1072521.2259177498,-4406184.731082353,6551227.182917853,False
ABDUL RASHID SHEIKH,2025-10-01,0.0,modeled,1741338.097053438,-2459853.6056987387,5775140.008252645,2024833.0108317637,-3453873.60951975,7503539.631183278,False
