decile,n,n_positive,mean_score,actual_rate,cum_positives,cum_capture_rate,lift
1,66,65,0.9914772727272727,0.9848484848484849,65,0.3939393939393939,3.933425160697888
2,66,56,0.8418560606060606,0.8484848484848485,121,0.7333333333333333,3.3887970615243344
3,66,23,0.37857447716602644,0.3484848484848485,144,0.8727272727272727,1.3918273645546373
4,66,15,0.20820238233810576,0.22727272727272727,159,0.9636363636363636,0.9077134986225895
5,65,5,0.06111888111888112,0.07692307692307693,164,0.9939393939393939,0.30722610722610727
6,66,0,0.017630853994490357,0.0,164,0.9939393939393939,0.0
7,66,1,0.002066115702479339,0.015151515151515152,165,1.0,0.06051423324150597
8,66,0,0.0,0.0,165,1.0,0.0
9,66,0,0.0,0.0,165,1.0,0.0
10,66,0,0.0,0.0,165,1.0,0.0
