number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_std,state
0,0.9081230832714071,2026-09-18 20:29:21.029930,2026-09-18 20:29:21.858478,0 days 00:00:00.828548,0.49359671220172163,0.4936111842654619,1.1752647960576206,0.1205712628744377,0,7,0.6194745024628934,400,0.10129197956845731,2.124280213720889,0.7993292420985183,0.02361944837460565,COMPLETE
1,0.8925136023776213,2026-09-18 20:29:21.858929,2026-09-18 20:29:24.390720,0 days 00:00:02.531791,0.5825453457757226,0.5100427059120604,0.010707712109770782,0.020589728197687916,1,6,3.4646653174710598,900,0.0028585493941961923,0.7500295933641418,0.5909124836035503,0.0324890730643178,COMPLETE
2,0.8983267585252823,2026-09-18 20:29:24.391502,2026-09-18 20:29:25.254368,0 days 00:00:00.862866,0.708540663048167,0.5198042692950159,0.0001652985698323788,0.04717052037625178,0,4,4.446862319918233,300,0.10907475835157694,0.006328309952869302,0.8925879806965068,0.02957451727836258,COMPLETE
3,0.8767398882788573,2026-09-18 20:29:25.254705,2026-09-18 20:29:26.839261,0 days 00:00:01.584556,0.8105398159072941,0.45860326840383037,0.0003745018823436387,0.1563510870813346,8,7,2.5358333235759627,900,0.029914693021302164,0.0014507434860119778,0.6523068845866853,0.05852928707016395,COMPLETE
4,0.8740842544450865,2026-09-18 20:29:26.839861,2026-09-18 20:29:27.530882,0 days 00:00:00.691021,0.5109126733153162,0.7280261676059678,0.4388598863942792,0.028869220380495747,5,5,17.87733361282641,300,4.9830438374949075,16.023850290194936,0.7600340105889054,0.027283117537942297,COMPLETE
5,0.8987549695969136,2026-09-18 20:29:27.531235,2026-09-18 20:29:29.022960,0 days 00:00:01.491725,0.6332063738136893,0.5951981984579586,0.7838134236608698,0.01947558230629543,4,2,1.360465183078236,850,0.0060780830996819525,0.020897909023786364,0.522613644455269,0.029442554384973472,COMPLETE
6,0.8872793926787995,2026-09-18 20:29:29.023561,2026-09-18 20:29:30.382402,0 days 00:00:01.358841,0.5192294089205034,0.8633468615779945,0.6789359290638651,0.012886065671894011,6,6,0.5102896587491044,200,0.3422052903270694,2.6642981030636883,0.9934434683002586,0.03515067563237883,COMPLETE
7,0.8828203292111422,2026-09-18 20:29:30.382743,2026-09-18 20:29:31.026528,0 days 00:00:00.643785,0.5985388149115896,0.7739788760965347,0.0028926547478415558,0.014830392684568025,5,4,0.6321123775566324,150,0.0042258746449961694,2.6816219202012923,0.9315517129377968,0.03547026574288975,COMPLETE
8,0.9015829208675861,2026-09-18 20:29:31.026886,2026-09-18 20:29:33.395698,0 days 00:00:02.368812,0.7367663185416977,0.8564710291701385,0.020908876411396386,0.015019490572374374,0,4,8.592225728587435,850,0.04108318894699928,0.10209451747520762,0.8566223936114975,0.02212699423149465,COMPLETE
9,0.8992935721728343,2026-09-18 20:29:33.396282,2026-09-18 20:29:33.813006,0 days 00:00:00.416724,0.9445398843556558,0.7051424146988217,0.008479632791352576,0.08710745900492396,0,2,1.254154702238012,150,0.5994537656798818,0.011888189431127745,0.6571779905381634,0.031138256948972334,COMPLETE
10,0.8791909374935434,2026-09-18 20:29:33.813316,2026-09-18 20:29:34.066145,0 days 00:00:00.252829,0.44406773525369697,0.49829915503835576,2.49126012994849,0.24556311777193843,2,5,0.7866730060102135,100,0.12914255934971886,26.76597026658423,0.9350519414652012,0.030300345359138985,COMPLETE
11,0.8550182543690383,2026-09-18 20:29:34.066433,2026-09-18 20:29:35.368064,0 days 00:00:01.301631,0.771778366164048,0.9401973974573562,0.006293409262270459,0.034035186017622704,1,5,18.400513573607405,700,0.002395101334421434,0.35801660723556805,0.8196529607252018,0.04233774056624343,COMPLETE
12,0.8938558847824989,2026-09-18 20:29:35.368413,2026-09-18 20:29:36.406850,0 days 00:00:01.038437,0.5840565366809549,0.5542057722028646,0.19084400662760012,0.24488517066422286,0,7,1.2436317382958586,500,0.050832786404433464,5.9594184975947675,0.6963863964827971,0.02978000084013905,COMPLETE
