MP Name,Top_Vendor,Vendor_Dominance_Pct,Is_Monopoly_Flag,Vendor_Is_Shell,Vendor_Is_Blacklisted,In_Cartel_Cluster,Collusion_Risk_Score
SALENG A SANGMA,Aiok M Sangma,26.87,False,False,False,False,0
VAMSI KRISHNA GADDAM,SVR CONSTRUCTIONS,34.71,False,False,False,False,0
JOYANTA BASUMATARY,Derhasad Basumatary,7.23,False,False,False,False,0
Jyotsna Charandas Mahant ,CARTEL_CORP_B,34.2,False,True,True,True,5
Shri Anil Kumar Yadav Mandadi (2024-30),SANTRIX CONSTRUCTIONS,62.03,False,False,False,False,0
Smt S Jothimani,P S STALIN,21.87,False,False,False,False,0
Shri Narayanasa K. Bhandage (2024-30),RAJASHEKAR PATIL,32.63,False,False,False,False,0
JITENDRA KUMAR DOHARE,BAKE BIHARI TRADERS,60.52,False,False,False,False,0
DR. MANSUKH MANDAVIYA,MSS MEDITECHNO,16.87,False,False,False,False,0
DARSHAN SINGH CHOUDHARY,Punyashila Automobiles,16.42,False,False,False,False,0
Dr. Ajeet Madhavrao Gopchade (2024-30),MAULI CONSTRUCTION,6.51,False,False,False,False,0
Smt. Sonia Gandhi (2024-30),NEW INDIAN CONSTRUCTION COMPANY,5.34,False,False,False,False,0
Vijay Kumar Hansdak,AJIT KUMAR,49.5,False,False,False,False,0
HARENDRA SINGH MALIK,KHURSHEED ALAM CONTRACTOR,27.15,False,False,False,False,0
SUKHJINDER SINGH RANDHAWA,MS SRV INTERNATIONAL,7.29,False,False,False,False,0
Shri A. A. Rahim (2022-28),TATA MOTORS,16.97,False,False,False,False,0
MAHIMA KUMARI MEWAR,ASHOK KUMAR YADAV,8.62,False,False,False,True,3
KALI CHARAN SINGH,District Engineer,51.8,False,False,False,False,0
Shri Masthan Rao Yadav Beedha (2024-28),Chejarla Suresh Reddy,14.0,False,False,False,False,0
Suresh Kumar Kashyap,Block Development officer Nahan,5.7,False,False,False,False,0
JITIN PRASADA,INDRA JEET VERMA,17.15,False,False,False,False,0
BHUPENDER YADAV,ADIIVE TECHNOLOGES PRIVATE LTD,6.75,False,False,False,False,0
SAVITRI THAKUR,SHADOW_CORP_MONOPOLY,91.24,True,True,False,True,5
Shri Tejveer Singh (2024-30),MAA LAXMI CONTRACTOR AND SUPPLIERS,18.08,False,False,False,False,0
Shri Pradip Kumar Varma (2024-30),Junior Engineer Zila Parishad Prashant Kumar,54.25,False,False,False,False,0
PRAVEEN PATEL,Sunny Enterprises,65.21,False,False,False,False,0
RAJABHAU,PEDKAI ELECTRICALS,8.4,False,False,False,False,0
Smt Anupriya Patel,Atharv Enterprises,66.58,False,False,False,False,0
Priyanka Gandhi Vadra,SML ISUZU LTD,35.64,False,False,False,False,0
VIVEK THAKUR,ASSISTANT ENGINEER LAEO SHEIKHURA BARBIGHA,71.28,True,False,False,False,1
YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Mysore Nirmithi Kendra,63.82,False,False,False,False,0
BIPLAB KUMAR DEB,Soumen Adhikary,21.41,False,False,False,False,0
Shri Naveen Jain (2024-30),SAI ENTERPRISES,82.3,True,False,False,False,1
Smt. Sudha Murty (2024-30),Nirmithi kendra vijayapur,92.96,True,False,False,False,1
Kani K Navas,FPLUS ENTERPRISES,25.6,False,False,False,False,0
SHOBHA KARANDLAJE,M CUBE INFRATECH PRIVATE LIMITED,13.0,False,False,False,False,0
SHIVRAJ SINGH CHOUHAN,CEO JANPAD KHATEGAON,8.03,False,False,False,False,0
KAMLESH JANGDE,Abhishek Enterprises,15.52,False,False,False,False,0
NABA CHARAN MAJHI,SANSKRUTI ASSOCIATES PVT LTD,17.16,False,False,False,False,0
GOVIND MAKTHAPPA KARJOL,Project Director Nirmithi Kendra Chitradrga,41.84,False,False,False,False,0
Rajkumar Chahar ,SHOURYA ENTERPRISES,27.39,False,False,False,False,0
Raju Bista,Soumita Enterprise,12.22,False,False,False,False,0
RAVINDRA DATTARAM WAIKAR,Krishna Construction Co,14.79,False,False,False,False,0
Shri Mohammed Nadimul Haque (2024-30),KHIVRAJ MOTORS,51.67,False,False,False,False,0
DR RANI SRI KUMAR,R R BUILDERS,19.91,False,False,False,False,0
MANOJ TIGGA,SUBRATA SAHA,38.75,False,False,False,False,0
SK NURUL ISLAM,MA ENTERPRISE,68.91,False,False,False,False,0
Shri Hibi Eden,VE Commercial Vehicles Ltd,55.07,False,False,False,False,0
Dr Sukanta Majumdar ,BOND CONSTRUCTION,36.21,False,False,False,False,0
MURASOLI S,GM Constructions and Infra P,19.01,False,False,False,False,0
Anto Antony,M S Communication,42.47,False,False,False,False,0
Dr. Medha Vishram Kulkarni (2024-30),Sunjiba majur sahkari sanstha maryadit,16.73,False,False,False,False,0
Shri Sadanand Mhalu Shet Tanavade (2023-29),TATA MOTORS,48.91,False,False,False,False,0
Shri Samik Bhattacharya (2024-30),Ananda Mohan Sui,10.43,False,False,False,False,0
Shri Amit Shah,AEON MEDICAL PVT LTD,43.21,False,False,False,False,0
JAGADISH CHANDRA BARMA BASUNIA,PABAN AGARWALA,53.07,False,False,False,False,0
Arvind Ganpat Sawant,Priti Infratech,27.13,False,False,False,False,0
TOKHAN SAHU,RAJKUMAR TIWARI,5.68,False,False,False,False,0
Smt Poonamben Hematbhai Maadam,UDYATI CONTRUCTION,3.74,False,False,False,False,0
Shri Manas Ranjan Mangaraj (2022-28),BUDHIRAM TIYU,7.52,False,False,False,False,0
Shri R. Girirajan (2022-28),JF JAVID HUSSAIN,57.2,False,False,False,False,0
PRIYA SAROJ,BHAGWATI CHAND,50.55,False,False,False,False,0
SUKANTA KUMAR PANIGRAHI,MAHAKUMBHA PROPERTIES PVT LIMITED,34.95,False,False,False,False,0
Smt. Maya Naroliya (2024-30),GRAM PANCHAYAT KADAIYASHAH,14.2,False,False,False,False,0
SHAMBHAVI,ASSISTANT ENGINEER HAYAGHAT,15.05,False,False,False,False,0
Shri Banshilal Gurjar (2024-30),Chief MANAGER OFFICE MEGA PLANning LOcal Area MAndsaur,29.98,False,False,False,False,0
Annpurna Devi ,EXECUTIVE ENGINER NREP GIRIDIH,54.21,False,False,False,False,0
Dr. Dharmshila Gupta (2024-30),VEDIKA SINGH,13.1,False,False,False,False,0
ROOP KUMARI CHOUDHARY,Exicutive Engineer PWD EM Division Nava Raipur,2.78,False,False,False,False,0
Shri Narendra Modi,NEETU CONSTRUCTION,7.86,False,False,False,False,0
GENIBEN NAGAJI THAKOR,GUJARAT LOKSEVA CHARITABLE TRUST,9.49,False,False,False,False,0
K. RAJASHEKAR BASAVARAJ HITNAL,KRIDL BHUSIRI ACCOUNT WORKS,29.4,False,False,False,False,0
Ramvir Singh Bidhuri,Greenz,25.14,False,False,False,False,0
SUDHA R,SRI SAI ENTERPRISES,29.59,False,False,False,False,0
Saumitra khan ,MAA BHABANI CONSTRUCTION,24.5,False,False,False,False,0
Shrikant Eknath Shinde,Pro Ortho Perfect India Pvt Ltd,100.0,True,False,False,False,1
Gyaneshwar Patil,KPL EQUIPMENTS PRIVATE LIMITED,40.17,False,False,False,False,0
Sanjay Haribhau Jadhav,PRUTHIVRAJ PRAMOD BHAMBLE PRO PRUTHIVIRAJ BHAMBLE,14.63,False,False,False,False,0
Shri Raghav Chadha (2022-28),Brightway Contractor and Developers,59.27,False,False,False,False,0
Shri Arjun Ram Meghwal,AKHIL BHARTIYA BISHNOI MAHASABHA,7.32,False,False,False,False,0
Kripanath Mallah,BITU RAY,30.32,False,False,False,False,0
Dr. Radha Mohan Das Agrawal (2022-28),MS Jitendra Kumar Yadav,51.89,False,False,False,False,0
MOHITE PATIL DHAIRYASHEEL RAJSINH,ABHIJEET AGENCIES SOLAPUR,92.68,True,False,False,False,1
Shri B. Parthasaradhi Reddy (2022-28),CARTEL_CORP_A,78.14,True,True,True,True,6
Shri Shantanu Thakur ,MAA KALI BUILDERS,71.54,True,False,False,False,1
Shri Milind Murli Deora (2024-30),Saurabh Vilas Kamane,50.0,False,False,False,False,0
Ms Mahua Moitra,PANKAJ SARKAR,21.55,False,False,False,False,0
Kangana Ranaut,Block Development  Office Rampur  Lok Sabha,11.41,False,False,False,False,0
SHREYAS. M. PATEL,KRIDL BHUSIRI ACCOUNT WORKS,36.98,False,False,False,True,3
MUHAMMED HAMDULLAH SAYEED,The Mananging Director Kerala Medical Service Coporation Ltd,82.78,True,False,False,False,1
Dilip Saikia,Firose Khakhlari,15.14,False,False,False,False,0
AASHTIKAR PATIL NAGESH BAPURAO,SAIBABA STONE CRUSHER AND CONSTRUCTION,30.6,False,False,False,False,0
Shri Abhishek Banerjee,S S CONSTRUCTION,7.35,False,False,False,False,0
JASHUBHAI BHILUBHAI RATHVA,Krupal Construction,26.03,False,False,False,False,0
Shri Dorjee Tshering Lepcha (2024-30),ASSISTANT ENGINEER ZILLA PANCHAYAT OFFICE,19.96,False,False,False,False,0
