MP Name,Trend_Anomaly_Score,Fund_Dump_Anomaly
AASHTIKAR PATIL NAGESH BAPURAO,0,False
ABDUL RASHID SHEIKH,0,False
ABHAY KUMAR SINHA,0,False
ABHIJIT GANGOPADHYAY,0,False
ADHIKARI SOUMENDU,0,False
ADITYA YADAV,0,False
ADV GOWAAL KAGADA PADAVI,0,False
ADV K FRANCIS GEORGE,0,False
AFZAL ANSARI,0,False
AGA SYED RUHULLAH MEHDI,0,False
AJENDRA SINGH LODHI,0,False
AKHILESH YADAV,0,False
AKSHAYA YADAV,0,False
ALFRED KANNGAM S ARTHUR,0,False
ALOK SHARMA,0,False
AMAR SHARADRAO KALE,0,False
AMARSING TISSO,0,False
AMBICA G LAKSHMINARAYANA VALMIKI,0,False
AMRARAM,0,False
AMRINDER SINGH RAJA WARRING,0,False
ANAND BHADAURIYA,0,False
ANAND KUMAR,0,False
ANANTA NAYAK,0,False
ANDREW J. SYNGKON,0,False
ANGOMCHA BIMOL AKOIJAM,0,False
ANIL BALUNI,0,False
ANIL YESHWANT DESAI,0,False
ANITA NAGARSINGH CHOUHAN,0,False
ANITA SUBHADARSHINI,0,False
ANOOP PRADHAN BALMIKI,0,False
ANUP SANJAY DHOTRE,0,False
ARUN BHARTI,0,False
ARUN GOVIL,0,False
ARUN NEHRU,0,False
ARUNA. D. K,0,False
ARUP CHAKRABORTY,0,False
ASHISH DUBEY,0,False
ATUL GARG,0,False
AVIMANYU SETHI,0,False
AWADHESH PRASAD,0,False
AZAD KIRTI JHA,0,False
Abu Taher Khan,0,False
Adv Adoor Prakash ,0,False
Adv Dean Kuriakose,0,False
Ajay Bhatt,0,False
Ajay Kumar Mandal,0,False
Ajay Tamta,0,False
Alok Kumar Suman,0,False
Amol Ramsing Kolhe,0,False
Andimuthu Raja,0,False
Annpurna Devi ,0,False
Anto Antony,0,False
Anurag Sharma ,0,False
Anurag Singh Thakur,0,False
Appalanaidu Kalisetti,0,False
Arvind Dharmapuri,0,False
Arvind Ganpat Sawant,0,False
Asaduddin Owaisi,0,False
Ashok Kumar Rawat,0,False
Ashok Kumar Yadav ,1,True
Asit Kumar Mal ,0,False
B K PARTHASARATHI,0,False
BABU SINGH KUSHWAHA,0,False
BACHHAV SHOBHA DINESH,0,False
BAG MITALI,0,False
BAIJAYANT PANDA,1,True
BAJRANG MANOHAR SONWANE,0,False
BALABHADRA MAJHI,0,False
BALRAM NAIK PORIKA,0,False
