MP Name,Top_Vendor,Vendor_Dominance_Pct,Is_Monopoly_Flag,Vendor_Is_Shell,Vendor_Is_Blacklisted,In_Cartel_Cluster,Collusion_Risk_Score,Trend_Anomaly_Score,Fund_Dump_Anomaly,Constituency,Isolation_Forest_Anomaly,Is_Ghost_Work,True_Fraud_Label,Final_Risk_Probability,Composite_Risk_Score,Primary_Risk_Driver
AASHTIKAR PATIL NAGESH BAPURAO,SAIBABA STONE CRUSHER AND CONSTRUCTION,30.6,False,False,False,False,0.0,0,False,HINGOLI,0.0,0.0,0,0.0048430096,0.48,None
ABDUL RASHID SHEIKH,MADIHA TRADERS,12.89,False,False,False,False,0.0,0,False,BARAMULLAH,0.0,1.0,1,0.9970304,99.7,Is_Ghost_Work
ABHAY KUMAR SINHA,LITTLE GENIUS AGENCIES,27.14,False,False,False,False,0.0,0,False,AURANGABAD,0.0,10.0,1,0.9970304,99.7,Is_Ghost_Work
ABHIJIT GANGOPADHYAY,MANDAL ENTERPRISE,6.39,False,False,False,False,0.0,0,False,TAMLUK,0.0,0.0,0,0.0048430096,0.48,None
ADHIKARI SOUMENDU,GLOSIA ENERGY INDIA PRIVATE LIMITED,79.7,True,False,False,False,1.0,0,False,KANTHI,0.0,3.0,1,0.9967546,99.68,Is_Ghost_Work
ADITYA YADAV,Jagdish Narayan,31.36,False,False,False,False,0.0,0,False,BADAUN,0.0,0.0,0,0.0048430096,0.48,None
ADV GOWAAL KAGADA PADAVI,SWAMI POWERTECH,57.67,False,False,False,False,0.0,0,False,NANDURBAR,0.0,20.0,1,0.9970304,99.7,Is_Ghost_Work
ADV K FRANCIS GEORGE,TATA MOTORS,11.77,False,False,False,False,0.0,0,False,KOTTAYAM,0.0,0.0,0,0.0048430096,0.48,None
AFZAL ANSARI,SHYAM SOLAR TRADING,41.77,False,False,False,False,0.0,0,False,GHAZIPUR,0.0,0.0,0,0.0048430096,0.48,None
AGA SYED RUHULLAH MEHDI,Alyas ahmad mir,12.86,False,False,False,False,0.0,0,False,SRINAGAR,0.0,0.0,0,0.0048430096,0.48,None
