feature,mean_abs_shap,mean_shap,gain_importance,shap_rank
cost_deviation_pct_mean,2.6036074,-1.1460252,32.56146240234375,1
cost_deviation_pct_max,0.90930843,-0.45548087,9.57266616821289,2
num_works,0.5197832,0.008188333,9.809865951538086,3
sor_match_confidence_mean,0.236832,-0.062539235,5.843249320983887,4
anomaly_score_max,0.1438082,-0.04388953,4.182528018951416,5
residual_pct_max,0.11444246,-0.022647632,4.728330135345459,6
collusion_score_max,0.11389881,-0.023879824,4.314240455627441,7
duplicate_score_max,0.10927427,-0.0076349536,5.412776947021484,8
anomaly_flag_rate,0.10624327,-0.023934474,6.33552885055542,9
num_primary_vendors,0.10263542,-0.03896758,5.953879356384277,10
collusion_score_mean,0.09900393,-0.007636116,5.009446620941162,11
num_months,0.08797768,-0.01755623,4.590575695037842,12
residual_pct_mean,0.07681978,-0.02198606,4.635885715484619,13
anomaly_score_mean,0.04069147,-0.007901466,3.719722032546997,14
deviation_flag_rate,0.03568876,-0.010805548,4.544969081878662,15
duplicate_group_size_max,0.025667205,-0.008522282,4.461916446685791,16
total_actual_amount,0.021451127,-0.008662433,2.9123892784118652,17
flagged_vendor_rate,0.01754298,-0.0014409266,3.801067590713501,18
duplicate_flag_rate,0.011879348,-0.004423285,4.203577518463135,19
duplicate_score_mean,0.004378461,-0.00093327486,3.2774293422698975,20
ghost_work_rate,0.003177123,-0.0018983694,5.544352054595947,21
is_ghost_work_flagged,0.0,0.0,0.0,22
any_flagged_vendor,0.0,0.0,0.0,23
