MP Name,num_works,anomaly_score_mean,anomaly_score_max,anomaly_flag_rate,cost_deviation_pct_mean,cost_deviation_pct_max,sor_match_confidence_mean,duplicate_score_mean,duplicate_score_max,duplicate_flag_rate,duplicate_group_size_max,is_ghost_work_flagged,ghost_work_rate,num_months,deviation_flag_rate,residual_pct_mean,residual_pct_max,total_actual_amount,num_primary_vendors,collusion_score_mean,collusion_score_max,flagged_vendor_rate,any_flagged_vendor,shap_base_value
AASHTIKAR PATIL NAGESH BAPURAO,-0.5208971,-0.031143783,-0.22014643,-0.38858747,-0.45600966,0.91351825,0.2684984,-0.021295773,-0.31719103,-0.052380674,-0.027238006,0.0,-0.00660777,-0.25418666,0.009299644,0.05561794,0.09171943,-0.060829476,-0.09337361,0.017658804,0.013168412,-0.0138092,0.0,0.08895362168550491
ABDUL RASHID SHEIKH,-0.19597207,-0.029332517,-0.08340048,-0.02677467,-2.8403807,-0.30420372,-0.2575822,0.003736286,0.14213918,0.010073628,-0.025208712,0.0,-0.0025984084,-0.13221031,0.0077199065,0.049735256,0.065402284,-0.0012777771,-0.13459857,0.007546308,-0.10285556,-0.008032693,0.0,0.08895362168550491
ABHAY KUMAR SINHA,-0.13432696,0.042505164,-0.21902674,-0.51436204,0.87728816,-0.3647129,-0.20973614,-0.0069729057,-0.31798825,-0.04286398,-0.020928795,0.0,-0.0018404913,0.124698706,0.04119278,-0.12093409,0.15067415,-0.0048456476,0.0055020736,0.04976484,0.045876354,-0.024087511,0.0,0.08895362168550491
ABHIJIT GANGOPADHYAY,-0.08632575,-0.0113501875,-0.052177805,-0.0892526,2.9754672,-0.08893367,0.42672676,-0.00046994412,0.038396213,0.0055086194,0.11844618,0.0,0.0015820288,0.12671413,0.016117878,0.067130655,0.13768186,0.027269477,-0.07533142,-0.060775034,-0.18089974,-0.006288778,0.0,0.08895362168550491
ADHIKARI SOUMENDU,-0.28009948,-0.03328839,0.46347418,0.085365444,-2.3485558,1.0446895,0.94078255,0.0069259037,-0.10879543,0.01388732,-0.014536978,0.0,0.0061844364,-0.05565747,0.012838484,0.023008838,0.100406766,0.00915784,0.41791287,0.3042804,-0.005275797,-0.008638522,0.0,0.08895362168550491
ADITYA YADAV,0.114113875,-0.0382373,-0.123306155,0.012632065,4.4852033,-0.1339081,-0.07170638,0.0012937512,0.022448584,6.957355e-05,-0.020452607,0.0,-0.0030390525,0.091484696,-0.07576473,0.07633911,0.0758544,-0.0032885477,-0.04193569,0.08487093,0.00091397745,0.0659785,0.0,0.08895362168550491
ADV GOWAAL KAGADA PADAVI,-0.4838521,0.07519973,-0.2217374,0.14631468,-3.0054338,-0.11914006,-0.2834907,0.049959578,-0.20765953,-0.00099022,0.07983092,0.0,0.00028741406,0.03742758,0.008542789,-0.15368222,-0.1351945,0.025665483,0.22414258,0.20429523,-0.11050095,0.044164434,0.0,0.08895362168550491
ADV K FRANCIS GEORGE,-0.37262374,0.023547474,0.19884887,0.08077476,-2.5575914,0.5658363,0.723304,-0.0022268614,-0.03415244,-0.0074269027,-0.021854924,0.0,-0.009376721,-0.07866305,0.014348682,0.019041292,-0.05128401,0.017768148,-0.29291344,-0.35391206,-0.22290161,-0.014270345,0.0,0.08895362168550491
AFZAL ANSARI,-0.7284661,-0.04692036,-0.048736747,-0.063067794,-3.355165,0.79116714,-0.24969143,0.000106934225,-0.055249996,0.010868799,-0.010370527,0.0,0.0034319516,0.042643696,0.045957807,0.045709644,0.05263337,-0.021587014,-0.16965264,-0.14484437,0.15873855,-0.010847425,0.0,0.08895362168550491
AGA SYED RUHULLAH MEHDI,-0.20941365,0.04558982,-0.07495224,-0.33924714,-2.0011137,-0.040081427,-0.21423008,0.0016389054,-0.0022729458,-0.0048079123,-0.02945411,0.0,-0.0064949077,-0.20335199,-0.23794791,0.052805733,0.052897736,-0.009618337,-0.20103286,0.026525956,-0.07471185,-0.006432505,0.0,0.08895362168550491
AJENDRA SINGH LODHI,-0.41312283,-0.03663789,-0.1224101,0.05797839,-3.310333,-1.2748034,-0.19343616,-0.006920277,-0.14418557,0.009230605,-0.008968014,0.0,0.0015993153,0.024897624,0.006135831,0.029785572,-0.005877547,0.00013838029,-0.055681355,0.022362826,-0.06303601,-0.009958604,0.0,0.08895362168550491
AKHILESH YADAV,-0.26599574,-0.05525903,-0.105484374,0.018696738,-2.7588806,0.72937,-0.2174444,-0.00482553,-0.040686358,-0.0036615867,-0.013065421,0.0,0.0025270365,-0.100196615,-0.017897548,-0.17656223,-0.2117891,0.010842897,-0.06821023,0.007551457,-0.0633646,-0.012488179,0.0,0.08895362168550491
AKSHAYA YADAV,-0.36021936,-0.038520414,-0.17401932,-0.09045384,2.1168954,0.20549016,-0.071578205,0.004925036,0.12197511,0.002104491,-0.021995189,0.0,-0.0016269225,0.11892421,-0.07688483,-0.077437654,0.14735934,-0.0012496521,0.1806911,0.115802795,-0.07428421,0.10670944,0.0,0.08895362168550491
ALFRED KANNGAM S ARTHUR,1.9698585,0.03904341,-0.088624954,-0.048473824,-2.1575048,1.2101259,0.831157,0.0032489952,0.12535423,0.0067980834,-0.00723407,0.0,-0.0016269225,0.04955283,0.024995973,0.027407262,0.07108718,0.017461682,0.11763197,0.1393599,0.11593541,0.043692343,0.0,0.08895362168550491
ALOK SHARMA,-0.48479813,-0.02138306,0.61402166,-0.15395617,0.9958786,0.73330563,-0.090684764,0.0022795505,-0.20628661,0.01421337,-0.018345937,0.0,0.0034319516,0.10215222,0.048187356,-0.048022132,-0.008356092,0.004522783,-0.074513376,0.16720374,-0.038147107,-0.0058801044,0.0,0.08895362168550491
AMAR SHARADRAO KALE,-0.47721222,-0.02111015,-0.118020676,0.07935619,4.48229,0.12238611,-0.08925208,-0.0032516979,0.07565424,-0.0071675843,-0.01975756,0.0,-0.0016269225,-0.119939625,-0.002836089,0.05594716,-0.1643363,0.05871411,-0.036975138,0.097309746,-0.071809,0.0023421145,0.0,0.08895362168550491
AMARSING TISSO,-0.009362419,-0.05568946,-0.046635386,0.08387348,-0.368728,0.0143776825,-0.1090216,-0.005813662,0.020281998,-0.0052117663,-0.021426395,0.0,-0.0064949077,0.09688592,-0.00320201,0.07685433,0.07992931,-0.0041671214,-0.112028,-0.17840564,0.1773638,-0.0124699995,0.0,0.08895362168550491
AMBICA G LAKSHMINARAYANA VALMIKI,0.08203117,-0.030446447,0.64075685,-0.1443916,0.27762967,-0.23602584,-0.047086082,-0.004525369,-0.20535052,0.006496714,-0.029515726,0.0,-0.007466394,-0.19139509,-0.022832364,0.1027419,0.119895175,0.020859621,-0.015630484,0.18360366,0.11891819,-0.0054900586,0.0,0.08895362168550491
AMRARAM,-0.14227535,-0.036782015,-0.07286136,-0.41831577,0.091890655,-0.34794533,-0.09769918,0.0060748295,0.041874547,0.0001550013,-0.038213767,0.0,-0.007681396,0.104724385,0.03677976,-0.2743153,-0.41689855,0.006373264,-0.057315107,-0.24258402,-0.2904126,-0.01852429,0.0,0.08895362168550491
AMRINDER SINGH RAJA WARRING,-0.087295175,0.010554358,0.0066858297,0.037555523,0.15748507,-0.046473715,0.39247668,-0.00444463,-0.085486345,0.010756152,-0.025432903,0.0,0.0015532833,0.11673491,0.059637498,-0.003631924,0.15183808,0.034978233,-0.080480516,-0.20905392,0.22542946,-0.015041338,0.0,0.08895362168550491
ANAND BHADAURIYA,-0.107263975,-0.044916186,-0.21076362,-0.061992407,3.0261803,-0.08031337,-0.04182349,0.0045427745,-0.24611305,-0.0128559405,0.12071288,0.0,0.00028741406,0.11589,0.031830188,0.061725967,-0.34230554,0.0055199214,-0.04309123,0.07083711,0.04020001,-0.035715416,0.0,0.08895362168550491
ANAND KUMAR,-0.62831634,-0.0488591,-0.23904817,-0.37197074,2.3801413,-0.36617872,-0.18918264,-0.0016354027,0.05311447,-0.0015816097,-0.038830206,0.0,-0.0016166708,-0.3257263,-0.04241399,-0.1781925,-0.07611138,-0.045017067,-0.04129439,0.0940053,-0.11362805,0.014431621,0.0,0.08895362168550491
ANANTA NAYAK,-0.46713534,0.04653012,-0.0454002,0.115681,-3.2967505,-1.2784091,-0.13758233,-0.0062070237,0.08311968,-0.014954398,-0.010147415,0.0,-0.0033907208,-0.10926486,0.0080881,-0.13824522,-0.17203176,0.011447878,-0.11814586,-0.108582065,-0.0585496,-0.0073041143,0.0,0.08895362168550491
ANDREW J. SYNGKON,-0.1313458,0.0037614587,-0.08300385,-0.17764641,0.30818343,-0.014297147,0.39439186,0.005034584,0.16806391,0.0056027295,-0.027395733,0.0,-0.0025318377,0.13762169,0.0163387,0.05861679,0.14765657,0.00076658063,0.017230872,0.037802156,-0.089785054,-0.016289642,0.0,0.08895362168550491
ANGOMCHA BIMOL AKOIJAM,-0.37600982,-0.012310246,-0.1355964,-0.054952167,-2.9024675,-1.6776882,0.5968001,0.0038004944,0.09318402,0.008693789,-0.009521255,0.0,-0.0024858057,0.056764305,0.045169387,0.036417294,0.14909117,0.011538621,0.24337366,0.08452884,-0.031225417,-0.012899746,0.0,0.08895362168550491
ANIL BALUNI,0.84962404,0.0018573494,-0.1239608,0.08923966,-2.8229904,-2.8541098,0.5678874,-0.00082262995,0.07596636,0.0023166498,-0.010286508,0.0,-0.0024858057,-0.101220116,-0.22151874,-0.004783801,0.046106994,-0.036679476,0.12024376,0.09165161,-0.024912251,-0.0101519795,0.0,0.08895362168550491
ANITA NAGARSINGH CHOUHAN,-0.42749184,-0.07308798,-0.15125877,0.07682189,-3.212497,-0.32774055,-0.24984089,-0.008488258,-0.20684527,-0.043773003,-0.037812512,0.0,-0.0005910229,0.026097625,0.01143006,-0.16943024,-0.21370423,0.0021999031,-0.13026682,-0.13254143,-0.12730211,-0.007702193,0.0,0.08895362168550491
ANITA SUBHADARSHINI,-0.7094085,0.009173439,-0.10142952,0.0671458,-2.7335637,1.0069062,0.79725677,-0.005953432,0.03258742,-0.0042896885,-0.012971065,0.0,-0.0016269225,-0.096448995,-0.04515861,0.028149655,0.049288947,-0.045253556,-0.19192758,-0.0035619577,-0.03238487,-0.0106477,0.0,0.08895362168550491
