threshold,tp,fp,fn,tn,precision,recall,specificity,f1,f2,mcc,youden_j,alert_rate,n_alerts,expected_cost
0.01,165,239,0,255,0.4084158415841584,1.0,0.5161943319838057,0.5799648506151143,0.775375939849624,0.4591535064857269,0.5161943319838058,0.6130500758725341,404,239.0
0.015,165,239,0,255,0.4084158415841584,1.0,0.5161943319838057,0.5799648506151143,0.775375939849624,0.4591535064857269,0.5161943319838058,0.6130500758725341,404,239.0
0.015152,164,174,1,320,0.48520710059171596,0.9939393939393939,0.6477732793522267,0.6520874751491054,0.8216432865731462,0.5562053943639582,0.6417126732916207,0.5128983308042488,338,184.0
0.02,164,174,1,320,0.48520710059171596,0.9939393939393939,0.6477732793522267,0.6520874751491054,0.8216432865731462,0.5562053943639582,0.6417126732916207,0.5128983308042488,338,184.0
0.025,164,174,1,320,0.48520710059171596,0.9939393939393939,0.6477732793522267,0.6520874751491054,0.8216432865731462,0.5562053943639582,0.6417126732916207,0.5128983308042488,338,184.0
0.03,164,174,1,320,0.48520710059171596,0.9939393939393939,0.6477732793522267,0.6520874751491054,0.8216432865731462,0.5562053943639582,0.6417126732916207,0.5128983308042488,338,184.0
0.033333,164,174,1,320,0.48520710059171596,0.9939393939393939,0.6477732793522267,0.6520874751491054,0.8216432865731462,0.5562053943639582,0.6417126732916207,0.5128983308042488,338,184.0
0.035,163,145,2,349,0.5292207792207793,0.9878787878787879,0.7064777327935222,0.6892177589852009,0.8419421487603305,0.6029191086008063,0.6943565206723101,0.4673748103186646,308,165.0
0.04,163,145,2,349,0.5292207792207793,0.9878787878787879,0.7064777327935222,0.6892177589852009,0.8419421487603305,0.6029191086008063,0.6943565206723101,0.4673748103186646,308,165.0
0.045,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.05,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.055,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.06,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.065,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.07,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.075,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.08,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.085,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.09,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.095,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.1,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.105,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.11,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.115,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.117647,162,121,3,373,0.5724381625441696,0.9818181818181818,0.7550607287449392,0.7232142857142857,0.8589607635206786,0.6449327535258931,0.736878910563121,0.4294385432473445,283,151.0
0.12,160,106,5,388,0.6015037593984962,0.9696969696969697,0.7854251012145749,0.7424593967517401,0.8639308855291576,0.6667845329854788,0.7551220709115447,0.40364188163884673,266,156.0
0.125,160,106,5,388,0.6015037593984962,0.9696969696969697,0.7854251012145749,0.7424593967517401,0.8639308855291576,0.6667845329854788,0.7551220709115447,0.40364188163884673,266,156.0
0.13,160,106,5,388,0.6015037593984962,0.9696969696969697,0.7854251012145749,0.7424593967517401,0.8639308855291576,0.6667845329854788,0.7551220709115447,0.40364188163884673,266,156.0
0.135,160,106,5,388,0.6015037593984962,0.9696969696969697,0.7854251012145749,0.7424593967517401,0.8639308855291576,0.6667845329854788,0.7551220709115447,0.40364188163884673,266,156.0
0.136364,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.14,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.145,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.15,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.155,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.16,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.165,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.17,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.175,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.18,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.185,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.19,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.195,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.2,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.205,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.21,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.215,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.22,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.225,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.23,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.235,157,87,8,407,0.6434426229508197,0.9515151515151515,0.8238866396761133,0.767726161369193,0.8683628318584071,0.6956860340386063,0.775401791191265,0.37025796661608495,244,167.0
0.239437,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.24,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.245,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.25,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.255,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.26,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.265,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.27,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.275,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.28,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.285,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.29,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.295,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.3,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.305,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.31,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.315,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.32,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.325,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.33,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.333333,140,33,25,461,0.8092485549132948,0.8484848484848485,0.9331983805668016,0.8284023668639054,0.8403361344537815,0.7696531562095462,0.7816832290516502,0.26251896813353565,173,283.0
0.335,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.34,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.345,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.35,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.355,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.36,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.365,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.37,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.375,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.38,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.385,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.39,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.395,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.4,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.405,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.41,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.415,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.42,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.425,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.43,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.435,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.44,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.445,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.45,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.455,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.46,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.465,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.47,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.475,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.48,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.485,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.49,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.495,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.5,135,23,30,471,0.8544303797468354,0.8181818181818182,0.9534412955465587,0.8359133126934984,0.8251833740831296,0.7830027159687314,0.7716231137283769,0.23975720789074356,158,323.0
0.505,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.51,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.515,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.52,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.525,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.53,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.535,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.54,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.545,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.55,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.555,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.56,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.565,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.57,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.575,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.58,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.585,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.59,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.595,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.6,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.605,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.61,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.615,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.62,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.625,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.63,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.635,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.64,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.645,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.65,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
0.655,124,12,41,482,0.9117647058823529,0.7515151515151515,0.9757085020242915,0.823920265780731,0.778894472361809,0.7784901898512139,0.727223653539443,0.20637329286798178,136,422.0
