MP Name,feature,shap_value,abs_shap,direction,driver_rank
AASHTIKAR PATIL NAGESH BAPURAO,cost_deviation_pct_max,0.91351825,0.91351825,increases_risk,1
AASHTIKAR PATIL NAGESH BAPURAO,num_works,-0.5208971,0.5208971,decreases_risk,2
AASHTIKAR PATIL NAGESH BAPURAO,cost_deviation_pct_mean,-0.45600966,0.45600966,decreases_risk,3
ABDUL RASHID SHEIKH,cost_deviation_pct_mean,-2.8403807,2.8403807,decreases_risk,1
ABDUL RASHID SHEIKH,cost_deviation_pct_max,-0.30420372,0.30420372,decreases_risk,2
ABDUL RASHID SHEIKH,sor_match_confidence_mean,-0.2575822,0.2575822,decreases_risk,3
ABHAY KUMAR SINHA,cost_deviation_pct_mean,0.87728816,0.87728816,increases_risk,1
ABHAY KUMAR SINHA,anomaly_flag_rate,-0.51436204,0.51436204,decreases_risk,2
ABHAY KUMAR SINHA,cost_deviation_pct_max,-0.3647129,0.3647129,decreases_risk,3
ABHIJIT GANGOPADHYAY,cost_deviation_pct_mean,2.9754672,2.9754672,increases_risk,1
ABHIJIT GANGOPADHYAY,sor_match_confidence_mean,0.42672676,0.42672676,increases_risk,2
ABHIJIT GANGOPADHYAY,collusion_score_max,-0.18089974,0.18089974,decreases_risk,3
ADHIKARI SOUMENDU,cost_deviation_pct_mean,-2.3485558,2.3485558,decreases_risk,1
ADHIKARI SOUMENDU,cost_deviation_pct_max,1.0446895,1.0446895,increases_risk,2
ADHIKARI SOUMENDU,sor_match_confidence_mean,0.94078255,0.94078255,increases_risk,3
ADITYA YADAV,cost_deviation_pct_mean,4.4852033,4.4852033,increases_risk,1
ADITYA YADAV,cost_deviation_pct_max,-0.1339081,0.1339081,decreases_risk,2
ADITYA YADAV,anomaly_score_max,-0.123306155,0.123306155,decreases_risk,3
ADV GOWAAL KAGADA PADAVI,cost_deviation_pct_mean,-3.0054338,3.0054338,decreases_risk,1
ADV GOWAAL KAGADA PADAVI,num_works,-0.4838521,0.4838521,decreases_risk,2
ADV GOWAAL KAGADA PADAVI,sor_match_confidence_mean,-0.2834907,0.2834907,decreases_risk,3
ADV K FRANCIS GEORGE,cost_deviation_pct_mean,-2.5575914,2.5575914,decreases_risk,1
ADV K FRANCIS GEORGE,sor_match_confidence_mean,0.723304,0.723304,increases_risk,2
ADV K FRANCIS GEORGE,cost_deviation_pct_max,0.5658363,0.5658363,increases_risk,3
AFZAL ANSARI,cost_deviation_pct_mean,-3.355165,3.355165,decreases_risk,1
AFZAL ANSARI,cost_deviation_pct_max,0.79116714,0.79116714,increases_risk,2
AFZAL ANSARI,num_works,-0.7284661,0.7284661,decreases_risk,3
AGA SYED RUHULLAH MEHDI,cost_deviation_pct_mean,-2.0011137,2.0011137,decreases_risk,1
AGA SYED RUHULLAH MEHDI,anomaly_flag_rate,-0.33924714,0.33924714,decreases_risk,2
AGA SYED RUHULLAH MEHDI,deviation_flag_rate,-0.23794791,0.23794791,decreases_risk,3
AJENDRA SINGH LODHI,cost_deviation_pct_mean,-3.310333,3.310333,decreases_risk,1
AJENDRA SINGH LODHI,cost_deviation_pct_max,-1.2748034,1.2748034,decreases_risk,2
AJENDRA SINGH LODHI,num_works,-0.41312283,0.41312283,decreases_risk,3
AKHILESH YADAV,cost_deviation_pct_mean,-2.7588806,2.7588806,decreases_risk,1
AKHILESH YADAV,cost_deviation_pct_max,0.72937,0.72937,increases_risk,2
AKHILESH YADAV,num_works,-0.26599574,0.26599574,decreases_risk,3
AKSHAYA YADAV,cost_deviation_pct_mean,2.1168954,2.1168954,increases_risk,1
AKSHAYA YADAV,num_works,-0.36021936,0.36021936,decreases_risk,2
AKSHAYA YADAV,cost_deviation_pct_max,0.20549016,0.20549016,increases_risk,3
ALFRED KANNGAM S ARTHUR,cost_deviation_pct_mean,-2.1575048,2.1575048,decreases_risk,1
ALFRED KANNGAM S ARTHUR,num_works,1.9698585,1.9698585,increases_risk,2
ALFRED KANNGAM S ARTHUR,cost_deviation_pct_max,1.2101259,1.2101259,increases_risk,3
ALOK SHARMA,cost_deviation_pct_mean,0.9958786,0.9958786,increases_risk,1
ALOK SHARMA,cost_deviation_pct_max,0.73330563,0.73330563,increases_risk,2
ALOK SHARMA,anomaly_score_max,0.61402166,0.61402166,increases_risk,3
AMAR SHARADRAO KALE,cost_deviation_pct_mean,4.48229,4.48229,increases_risk,1
AMAR SHARADRAO KALE,num_works,-0.47721222,0.47721222,decreases_risk,2
AMAR SHARADRAO KALE,residual_pct_max,-0.1643363,0.1643363,decreases_risk,3
AMARSING TISSO,cost_deviation_pct_mean,-0.368728,0.368728,decreases_risk,1
AMARSING TISSO,collusion_score_mean,-0.17840564,0.17840564,decreases_risk,2
AMARSING TISSO,collusion_score_max,0.1773638,0.1773638,increases_risk,3
AMBICA G LAKSHMINARAYANA VALMIKI,anomaly_score_max,0.64075685,0.64075685,increases_risk,1
AMBICA G LAKSHMINARAYANA VALMIKI,cost_deviation_pct_mean,0.27762967,0.27762967,increases_risk,2
AMBICA G LAKSHMINARAYANA VALMIKI,cost_deviation_pct_max,-0.23602584,0.23602584,decreases_risk,3
AMRARAM,anomaly_flag_rate,-0.41831577,0.41831577,decreases_risk,1
AMRARAM,residual_pct_max,-0.41689855,0.41689855,decreases_risk,2
AMRARAM,cost_deviation_pct_max,-0.34794533,0.34794533,decreases_risk,3
AMRINDER SINGH RAJA WARRING,sor_match_confidence_mean,0.39247668,0.39247668,increases_risk,1
AMRINDER SINGH RAJA WARRING,collusion_score_max,0.22542946,0.22542946,increases_risk,2
AMRINDER SINGH RAJA WARRING,collusion_score_mean,-0.20905392,0.20905392,decreases_risk,3
ANAND BHADAURIYA,cost_deviation_pct_mean,3.0261803,3.0261803,increases_risk,1
ANAND BHADAURIYA,residual_pct_max,-0.34230554,0.34230554,decreases_risk,2
ANAND BHADAURIYA,duplicate_score_max,-0.24611305,0.24611305,decreases_risk,3
ANAND KUMAR,cost_deviation_pct_mean,2.3801413,2.3801413,increases_risk,1
ANAND KUMAR,num_works,-0.62831634,0.62831634,decreases_risk,2
ANAND KUMAR,anomaly_flag_rate,-0.37197074,0.37197074,decreases_risk,3
ANANTA NAYAK,cost_deviation_pct_mean,-3.2967505,3.2967505,decreases_risk,1
